********************************************************************************
LOGGING TIME: 20201001_163822
CLIENT IP: 192.168.1.101
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 732, 1007, 9
MM, 730, 1011, 7
MM, 728, 1016, 8
MM, 726, 1020, 4
MM, 724, 1024, 8
MM, 722, 1027, 8
MM, 720, 1031, 4
MM, 719, 1033, 8
MM, 718, 1035, 8
MM, 717, 1037, 8
MM, 717, 1038, 4
MM, 716, 1038, 16
MM, 716, 1039, 8
MM, 716, 1039, 4
MM, 716, 1040, 8
MM, 715, 1040, 16
MM, 715, 1040, 4
MM, 715, 1040, 1214
MM, 715, 1037, 4
MM, 715, 1036, 8
MM, 715, 1033, 8
MM, 715, 1030, 8
MM, 715, 1029, 4
MM, 715, 1026, 8
MM, 715, 1024, 8
MM, 715, 1022, 4
MM, 715, 1020, 8
MM, 715, 1017, 8
MM, 715, 1015, 8
MM, 715, 1012, 4
MM, 716, 1008, 10
MM, 716, 1006, 4
MM, 717, 1003, 10
MM, 717, 1000, 5
MM, 718, 997, 8
MM, 719, 996, 7
MM, 720, 993, 8
MM, 720, 991, 8
MM, 720, 990, 5
MM, 721, 988, 9
MM, 723, 985, 4
MM, 724, 985, 8
MM, 725, 983, 8
MM, 725, 981, 7
MM, 727, 979, 8
MM, 728, 978, 4
MM, 731, 976, 8
MM, 733, 974, 8
MM, 734, 973, 8
MM, 736, 971, 4
MM, 738, 970, 8
