********************************************************************************
LOGGING TIME: 20201002_034950
CLIENT IP: 192.168.1.102
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 152, 960, 8
MP, 1, 188
MR, 1, 140
MC, 1, 0
MP, 1, 0
MR, 1, 216
MC, 2, 0
MM, 179, 929, 368
MM, 220, 880, 8
MM, 265, 828, 4
MM, 306, 776, 8
MM, 347, 731, 8
MM, 395, 678, 8
MM, 438, 632, 4
MM, 494, 576, 8
MM, 546, 517, 8
MM, 593, 462, 8
MM, 638, 410, 4
MM, 679, 361, 8
MM, 711, 323, 8
MM, 735, 294, 8
MM, 750, 276, 4
MM, 762, 261, 10
MM, 773, 250, 4
MM, 781, 242, 8
MM, 786, 236, 8
MM, 789, 235, 8
MM, 791, 233, 4
MM, 792, 231, 8
MM, 792, 230, 8
MM, 793, 230, 8
MM, 793, 230, 4
MM, 793, 230, 56
MM, 792, 230, 16
MM, 792, 230, 23
MM, 791, 230, 12
MM, 790, 230, 76
MM, 790, 230, 14
MM, 789, 230, 14
MM, 788, 230, 22
MM, 788, 230, 16
MM, 786, 231, 216
MM, 784, 235, 8
MM, 781, 238, 8
MM, 780, 241, 4
MM, 778, 244, 8
MM, 776, 246, 8
MM, 775, 250, 8
MM, 774, 252, 4
MM, 772, 255, 8
MM, 771, 257, 8
MM, 770, 260, 8
MM, 768, 263, 4
MM, 768, 266, 8
MM, 767, 268, 8
MM, 767, 270, 8
MM, 766, 272, 4
MM, 766, 273, 8
MM, 766, 275, 8
MM, 766, 276, 12
MM, 766, 276, 8
MM, 766, 277, 8
MM, 767, 278, 8
MM, 767, 279, 4
MM, 769, 279, 8
MM, 773, 281, 8
MM, 776, 283, 8
MM, 781, 284, 8
MM, 790, 288, 4
MM, 800, 291, 8
MM, 814, 295, 8
MM, 833, 298, 8
MM, 849, 300, 4
MM, 871, 303, 8
MM, 891, 308, 8
MM, 901, 311, 8
MM, 913, 315, 4
MM, 923, 317, 8
MM, 932, 322, 8
MM, 943, 328, 8
MM, 950, 331, 4
MM, 958, 335, 8
MM, 962, 340, 8
MM, 966, 342, 8
MM, 971, 344, 4
MM, 972, 346, 8
MM, 975, 347, 8
MM, 978, 348, 8
MM, 979, 349, 4
MM, 981, 350, 8
MM, 981, 351, 8
MM, 982, 351, 12
MM, 982, 352, 24
MM, 960, 349, 324
MM, 929, 339, 4
MM, 883, 321, 8
MM, 844, 299, 8
MM, 807, 278, 8
MM, 779, 258, 4
MM, 758, 240, 8
MM, 742, 224, 8
MM, 723, 203, 12
MM, 719, 195, 8
MM, 715, 189, 8
MM, 713, 185, 8
MM, 712, 182, 4
MM, 712, 178, 8
MM, 712, 174, 8
MM, 712, 170, 8
MM, 712, 168, 4
MM, 713, 162, 8
MM, 716, 158, 8
MM, 717, 156, 8
MM, 719, 153, 4
MM, 720, 150, 8
MM, 721, 148, 8
MM, 722, 148, 8
MM, 722, 147, 12
MM, 722, 146, 16
MM, 722, 146, 76
MM, 722, 147, 8
MM, 720, 153, 8
MM, 715, 160, 4
MM, 710, 169, 8
MM, 706, 178, 8
MM, 701, 184, 8
MM, 699, 190, 4
MM, 697, 193, 8
MM, 695, 194, 8
MM, 694, 197, 8
MM, 694, 197, 4
MM, 693, 198, 16
MM, 693, 199, 12
MM, 692, 199, 8
MM, 691, 199, 8
MM, 691, 199, 8
MM, 691, 200, 4
MM, 688, 201, 8
MM, 687, 202, 8
MM, 684, 204, 8
MM, 682, 204, 4
MM, 680, 205, 8
MM, 679, 205, 8
MM, 678, 206, 8
MM, 677, 206, 4
MM, 677, 206, 8
MM, 676, 206, 16
MM, 675, 206, 12
MM, 675, 207, 44
MM, 675, 207, 40
MM, 675, 208, 24
MM, 674, 208, 4
MM, 674, 209, 8
MM, 674, 210, 8
MM, 674, 210, 8
MM, 673, 211, 4
MM, 673, 212, 16
MM, 673, 212, 8
MM, 673, 213, 12
MM, 673, 214, 16
MM, 673, 214, 4
MM, 673, 215, 8
MM, 672, 215, 8
MM, 672, 217, 8
MM, 672, 217, 4
MM, 672, 218, 8
MM, 671, 220, 8
MM, 670, 220, 8
MM, 669, 220, 4
MM, 669, 222, 8
MM, 667, 224, 8
MM, 663, 226, 8
MM, 660, 226, 4
MM, 655, 227, 8
MM, 650, 227, 8
MM, 643, 226, 8
MM, 632, 224, 4
MM, 622, 223, 8
MM, 612, 220, 8
MM, 603, 219, 8
MM, 596, 218, 4
MM, 589, 216, 8
MM, 584, 216, 8
MM, 578, 215, 8
MM, 575, 215, 8
MM, 571, 215, 4
MM, 567, 215, 8
MM, 566, 215, 8
MM, 564, 215, 8
MM, 562, 215, 4
MM, 561, 215, 8
MM, 558, 215, 8
MM, 557, 214, 8
MM, 557, 214, 4
MM, 556, 214, 8
MM, 555, 214, 16
MM, 555, 214, 12
MM, 554, 214, 20
MM, 553, 214, 92
MM, 553, 214, 8
MM, 552, 214, 8
MM, 552, 215, 4
MM, 552, 216, 8
MM, 552, 216, 16
MM, 552, 217, 4
MM, 552, 219, 8
MM, 552, 219, 8
MM, 552, 220, 8
MM, 552, 221, 4
MM, 552, 221, 8
MM, 552, 222, 16
MM, 552, 223, 8
MM, 553, 224, 4
MM, 554, 224, 16
MM, 554, 225, 12
MM, 554, 226, 24
MM, 554, 226, 12
MM, 554, 227, 28
MP, 1, 212
MR, 1, 212
MC, 1, 0
MM, 547, 249, 704
MM, 529, 291, 8
MM, 517, 325, 8
MM, 507, 353, 8
MM, 503, 370, 8
MM, 498, 382, 4
MM, 494, 394, 8
MM, 492, 408, 8
MM, 490, 418, 8
MM, 489, 425, 4
MM, 487, 432, 8
MM, 487, 439, 8
MM, 487, 442, 8
MM, 486, 448, 4
MM, 486, 449, 8
MM, 486, 454, 8
MM, 486, 457, 8
MM, 486, 460, 4
MM, 487, 463, 8
MM, 488, 466, 8
MM, 488, 469, 8
MM, 490, 471, 4
MM, 492, 472, 8
MM, 493, 474, 8
MM, 495, 476, 8
MM, 497, 478, 8
MM, 500, 480, 4
MM, 502, 481, 8
MM, 504, 482, 8
MM, 505, 482, 4
MM, 505, 483, 8
MM, 506, 483, 8
MM, 507, 484, 8
MM, 507, 484, 8
MM, 508, 484, 4
MM, 509, 484, 8
MM, 509, 485, 16
MM, 510, 485, 4
MM, 511, 486, 8
MM, 512, 486, 8
MM, 512, 486, 8
MM, 513, 487, 4
MM, 514, 487, 16
MM, 515, 488, 8
MM, 518, 488, 4
MM, 521, 488, 8
MM, 526, 487, 8
MM, 529, 486, 8
MM, 531, 484, 4
MM, 537, 481, 8
MM, 541, 478, 8
MM, 545, 474, 8
MM, 547, 473, 4
MM, 549, 470, 8
MM, 551, 468, 8
MM, 553, 467, 8
MM, 554, 466, 4
MM, 555, 466, 8
MM, 556, 466, 8
MM, 556, 466, 8
MM, 556, 465, 4
MM, 557, 465, 8
MM, 558, 465, 8
MM, 559, 465, 8
MM, 559, 464, 4
MM, 560, 464, 16
MM, 561, 464, 12
MM, 561, 464, 24
MM, 562, 464, 12
MM, 563, 463, 44
MM, 564, 463, 12
MM, 564, 462, 8
MM, 564, 461, 8
MM, 564, 461, 12
MM, 565, 461, 8
MM, 565, 460, 8
MM, 566, 459, 8
MM, 566, 458, 12
MM, 566, 458, 8
MM, 567, 457, 8
MM, 568, 456, 4
MM, 568, 456, 8
MM, 569, 456, 8
MM, 569, 455, 8
MM, 570, 454, 4
MM, 571, 453, 8
MM, 571, 453, 8
MM, 571, 452, 8
