**********************************
LOGGING TIME: 20201103_145845
CLIENT IP: 192.168.137.1
USERNAME: izazuhur
OS: Windows 10
*********************Neutral database**********************************
MM, 35, 13, 9
MM, 43, 12, 8
MM, 5, 10, 8
MM, 21, 8, 7
MM, 40, 8, 8
MM, 6, 6, 8
MM, 25, 4, 8
MM, 38, 4, 8
MM, 2, 4, 9
MM, 8, 3, 8
MM, 14, 1, 7
MM, 17, 0, 9
MC, 1, 392
MC, 1, 648
MM, 26, 1, 72
MM, 30, 10, 7
MM, 34, 15, 9
MM, 34, 20, 8
MM, 36, 25, 8
MM, 39, 29, 8
MM, 1, 21, 56
MM, 2, 22, 7
MM, 2, 24, 8
MM, 3, 27, 8
MM, 4, 30, 8
MM, 47, 0, 33
MM, 48, 1, 8
MM, 48, 2, 8
MM, 49, 3, 8
MM, 49, 5, 24
MM, 49, 6, 8
MM, 49, 7, 16
MM, 49, 8, 7
MM, 49, 9, 8
MM, 51, 9, 8
MM, 52, 10, 17
MM, 52, 11, 16
MM, 52, 10, 72
MM, 52, 9, 8
MM, 49, 8, 151
MM, 48, 7, 8
MM, 47, 6, 8
MM, 46, 4, 9
MM, 43, 0, 8
MM, 41, 26, 23
MM, 36, 21, 8
MM, 32, 16, 9
MM, 27, 13, 8
MM, 23, 9, 8
MM, 20, 9, 8
MM, 16, 6, 8
MM, 11, 4, 7
MM, 7, 1, 8
MM, 6, 0, 8
MM, 0, 31, 40
MM, 0, 30, 40
MM, 0, 29, 16
MM, 43, 23, 89
MM, 42, 22, 8
MM, 39, 20, 7
MM, 38, 18, 8
MM, 36, 17, 17
MM, 34, 16, 8
MM, 33, 15, 8
MM, 31, 14, 7
MM, 31, 12, 9
MM, 30, 12, 7
MM, 30, 11, 8
MM, 32, 9, 192
MM, 35, 8, 8
MM, 39, 5, 8
MM, 42, 2, 8
MC, 1, 328
MM, 28, 2, 33
MM, 33, 9, 7
MM, 40, 16, 8
MM, 0, 26, 8
MM, 17, 5, 17
MM, 27, 13, 8
MM, 34, 20, 8
MM, 39, 25, 7
MM, 43, 30, 9
MM, 36, 30, 239
MM, 34, 27, 9
MM, 31, 26, 8
MM, 29, 25, 8
MM, 29, 24, 7
MM, 28, 24, 8
MM, 26, 22, 8
MC, 1, 225
MM, 26, 21, 31
MM, 26, 19, 8
MM, 25, 16, 8
MM, 25, 15, 9
MM, 21, 9, 8
MM, 19, 5, 7
MM, 6, 25, 24
MM, 0, 22, 8
MM, 41, 10, 24
MM, 40, 9, 8
MM, 39, 8, 9
MM, 37, 5, 7
MM, 37, 4, 16
MM, 37, 3, 8
MM, 37, 2, 17
MM, 37, 1, 8
MC, 1, 400
MM, 0, 1, 88
MM, 9, 4, 8
MM, 13, 7, 7
MM, 22, 12, 8
MM, 28, 14, 8
MM, 34, 15, 9
MM, 40, 17, 8
MM, 7, 21, 24
MM, 10, 23, 7
MM, 15, 24, 8
MM, 19, 26, 8
MM, 22, 26, 8
MM, 26, 27, 9
MM, 27, 27, 7
MM, 30, 28, 9
MM, 31, 28, 15
MM, 32, 28, 25
MM, 33, 30, 16
MM, 34, 31, 7
MM, 1, 5, 97
MM, 2, 6, 7
MM, 6, 7, 8
MM, 7, 8, 8
MM, 9, 8, 8
MM, 11, 8, 8
MM, 12, 9, 8
MM, 13, 9, 105
MM, 13, 13, 175
MM, 13, 14, 8
MM, 13, 15, 8
MM, 13, 16, 8
MM, 13, 20, 8
MM, 13, 24, 9
MM, 13, 29, 8
MM, 153, 3, 23
MM, 153, 7, 9
MM, 153, 9, 8
MM, 153, 11, 8
MM, 153, 13, 8
MM, 153, 14, 8
MM, 153, 15, 8
MM, 153, 16, 7
